codigo_acta,codigo_mesa,votos_p1,votos_p2,votos_p3,votos_p4,blancos,nulos,habilitados,anfora,no_usadas,observacion_formal,tipo_observacion_formal
1010200001001,1010200001001,140,39,124,345,76,64,877,788,89,,
1010200001002,1010200001002,28,158,155,347,71,50,949,809,140,,
1010200001003,1010200001003,183,32,52,481,12,97,987,857,130,,
1010200001004,1010200001004,9,31,24,38,15,1,119,118,1,,
1010200001005,1010200001005,250,1,111,410,28,70,924,870,54,Falta de datos de apertura o cierre: Omisión de la hora exacta de inicio o finalización de la jornada electoral en el acta.,FALTA_DATOS_APERTURA_CIERRE
1010200001006,1010200001006,0,9,2,26,4,4,54,45,9,,
1010200001007,1010200001007,84,91,13,522,86,69,972,865,107,,
1010200001008,1010200001008,26,13,32,88,11,14,186,184,2,,
1010200001009,1010200001009,113,85,34,412,37,77,828,758,70,,
1010300010001,1010300010001,26,84,88,460,117,48,911,823,88,,
1010300011001,1010300011001,84,65,112,201,49,25,678,536,142,,
1010300011002,1010300011002,48,247,138,306,121,40,930,900,30,,
1010300011003,1010300011003,13,39,14,153,42,15,279,276,3,,
1010300011004,1010300011004,47,99,8,133,47,10,429,344,85,,
1010300011005,1010300011005,22,3,4,109,27,17,187,182,5,,
1010300011006,1010300011006,47,28,30,86,12,7,212,210,2,,
1010300011007,1010300011007,116,168,65,155,73,15,727,592,135,,
1010300011008,1010300011008,11,87,89,300,49,6,588,542,46,,
1010300011009,1010300011009,49,19,27,62,31,2,237,190,47,,
1010300011010,1010300011010,3,2,4,12,0,1,23,22,1,,
1010300011011,1010300011011,21,94,129,306,16,34,693,600,93,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,MESA_LUGAR_DISTINTO
1010300011012,1010300011012,229,84,149,324,31,2,952,819,133,,
1010300011013,1010300011013,14,65,70,184,12,6,404,351,53,,
1010300011014,1010300011014,1,1,0,6,1,0,10,9,1,,
1010300011015,1010300011015,13,41,2,71,28,11,202,166,36,,
1010300011016,1010300011016,28,10,9,356,1,7,413,411,2,,
1010300027001,1010300027001,3,21,14,47,20,13,144,118,26,,
1010300027002,1010300027002,34,3,6,90,2,0,162,135,27,,
1010300027003,1010300027003,141,164,34,171,111,76,805,697,108,,
1010300027004,1010300027004,41,75,89,600,94,9,940,908,32,,
1010300027005,1010300027005,1,12,1,33,1,0,60,48,12,,
1010300027006,1010300027006,86,25,89,190,86,9,588,485,103,,
1010300027007,1010300027007,79,29,96,256,57,52,569,569,0,,
1010300027008,1010300027008,88,63,77,94,56,33,460,411,49,,
1010300027009,1010300027009,7,122,72,474,40,70,806,785,21,,
1010300027010,1010300027010,60,55,64,223,19,25,479,446,33,,
1010300027011,1010300027011,99,67,44,154,10,33,409,407,2,,
1010300027012,1010300027012,5,63,14,129,13,11,252,235,17,,
1010300027013,1010300027013,30,52,38,272,90,31,593,513,80,,
1010300027014,1010300027014,44,44,46,539,15,8,776,696,80,,
1020100041001,1020100041001,113,146,126,297,24,29,762,735,27,,
1020100041002,1020100041002,238,268,7,285,44,65,987,907,80,,
1020100041003,1020100041003,132,83,69,140,95,25,677,544,133,,
1020100041004,1020100041004,4,1,4,14,4,2,34,29,5,,
1020100045001,1020100045001,5,58,11,238,37,13,423,362,61,,
1020100045002,1020100045002,0,1,0,6,0,0,7,7,0,,
1020100045003,1020100045003,17,15,16,43,18,5,121,114,7,,
1020100045004,1020100045004,56,21,31,120,18,9,262,255,7,,
1020100045005,1020100045005,2,3,33,192,51,13,356,294,62,,
1020100045006,1020100045006,2,21,41,105,0,17,190,186,4,,
1020100045007,1020100045007,143,97,88,164,48,66,684,606,78,,
1020100045008,1020100045008,32,8,23,463,15,60,722,601,121,,
1020100045009,1020100045009,82,64,77,94,13,20,382,350,32,,
1020100045010,1020100045010,185,216,83,371,11,37,933,903,30,,
1020100045011,1020100045011,7,15,11,13,7,2,70,55,15,,
1020100045012,1020100045012,35,74,31,124,31,11,368,306,62,,
1020100045013,1020100045013,67,61,3,135,44,10,338,320,18,,
1020100045014,1020100045014,110,155,48,259,59,5,760,636,124,,
1020100045015,1020100045015,2,11,6,30,0,4,62,53,9,,
1020100045016,1020100045016,26,20,21,70,26,12,214,175,39,,
1020100045017,1020100045017,9,19,9,20,11,6,79,74,5,,
1020100062001,1020100062001,3,18,2,38,10,6,92,77,15,,
1020100062002,1020100062002,0,149,2,585,105,30,893,871,22,,
1020100062003,1020100062003,6,122,108,210,16,10,539,472,67,,
1020100062004,1020100062004,30,3,7,80,2,5,131,127,4,,
1020100062005,1020100062005,69,106,11,155,62,43,528,446,82,,
1030100067001,1030100067001,123,146,32,161,31,9,587,502,85,,
1030100067002,1030100067002,81,72,178,403,81,80,927,895,32,,
1030100067003,1030100067003,31,3,4,63,21,11,144,133,11,,
1030100067004,1030100067004,34,214,7,408,18,40,778,721,57,,
1030100067005,1030100067005,46,162,152,294,105,50,880,809,71,,
1030100067006,1030100067006,110,101,14,104,1,9,341,339,2,,
1030100067007,1030100067007,174,35,126,203,7,60,606,605,1,,
1030100067008,1030100067008,108,27,56,354,0,19,601,564,37,,
