CodigoTerritorial,Departamento,Provincia,Municipio,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas,CodigoActa,NroMesa,VotantesHabilitados,PapeletasAnfora,PapeltasNoUtilizadas,P1,P2,P3,P4,VotosValidos,VotosBlancos,VotosNulos,Observaciones,,AperturaHora,AperturaMinutos,CierreHora,CierreMinutos
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001001.0,1.0,877.0,788.0,89.0,140.0,39.0,124.0,345.0,648.0,76.0,64.0,,,8.0,1.0,16.0,4.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001002.0,2.0,949.0,809.0,140.0,28.0,158.0,155.0,347.0,688.0,71.0,50.0,,,8.0,1.0,16.0,3.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001003.0,3.0,987.0,857.0,130.0,183.0,32.0,52.0,481.0,748.0,12.0,97.0,,,8.0,1.0,16.0,1.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001004.0,4.0,119.0,118.0,1.0,9.0,31.0,24.0,38.0,102.0,15.0,1.0,,,8.0,1.0,16.0,37.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001005.0,5.0,924.0,870.0,54.0,250.0,1.0,111.0,410.0,772.0,28.0,70.0,Falta de datos de apertura o cierre: Omisión de la hora exacta de inicio o finalización de la jornada electoral en el acta.,,8.0,3.0,16.0,55.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001006.0,6.0,54.0,45.0,9.0,0.0,9.0,2.0,26.0,37.0,4.0,4.0,,,8.0,2.0,16.0,35.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001007.0,7.0,972.0,865.0,107.0,84.0,91.0,13.0,522.0,710.0,86.0,69.0,,,8.0,2.0,16.0,56.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001008.0,8.0,186.0,184.0,2.0,26.0,13.0,32.0,88.0,159.0,11.0,14.0,,,8.0,0.0,16.0,37.0
10102.0,Chuquisaca,Oropeza,Yotala,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0,1010200001009.0,9.0,828.0,758.0,70.0,113.0,85.0,34.0,412.0,644.0,37.0,77.0,,,8.0,2.0,16.0,47.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300010.0,U.E. Guillermo Urquidi,Av. Humboldt entre Av. Victor Ustariz y Av. Blanco Galindo,1.0,1010300010001.0,1.0,911.0,823.0,88.0,26.0,84.0,88.0,460.0,658.0,117.0,48.0,,,8.0,1.0,16.0,40.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011001.0,1.0,678.0,536.0,142.0,84.0,65.0,112.0,201.0,462.0,49.0,25.0,,,8.0,4.0,16.0,42.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011002.0,2.0,930.0,900.0,30.0,48.0,247.0,138.0,306.0,739.0,121.0,40.0,,,8.0,2.0,16.0,37.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011003.0,3.0,279.0,276.0,3.0,13.0,39.0,14.0,153.0,219.0,42.0,15.0,,,8.0,1.0,16.0,30.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011004.0,4.0,429.0,344.0,85.0,47.0,99.0,8.0,133.0,287.0,47.0,10.0,,,8.0,4.0,16.0,23.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011005.0,5.0,187.0,182.0,5.0,22.0,3.0,4.0,109.0,138.0,27.0,17.0,,,8.0,4.0,16.0,37.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011006.0,6.0,212.0,210.0,2.0,47.0,28.0,30.0,86.0,191.0,12.0,7.0,,,8.0,1.0,16.0,22.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011007.0,7.0,727.0,592.0,135.0,116.0,168.0,65.0,155.0,504.0,73.0,15.0,,,8.0,3.0,16.0,1.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011008.0,8.0,588.0,542.0,46.0,11.0,87.0,89.0,300.0,487.0,49.0,6.0,,,8.0,2.0,16.0,10.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011009.0,9.0,237.0,190.0,47.0,49.0,19.0,27.0,62.0,157.0,31.0,2.0,,,8.0,4.0,16.0,19.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011010.0,10.0,23.0,22.0,1.0,3.0,2.0,4.0,12.0,21.0,0.0,1.0,,,8.0,2.0,16.0,10.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011011.0,11.0,693.0,600.0,93.0,21.0,94.0,129.0,306.0,550.0,16.0,34.0,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.,,8.0,0.0,16.0,53.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011012.0,12.0,952.0,819.0,133.0,229.0,84.0,149.0,324.0,786.0,31.0,2.0,,,8.0,0.0,16.0,9.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011013.0,13.0,404.0,351.0,53.0,14.0,65.0,70.0,184.0,333.0,12.0,6.0,,,8.0,2.0,16.0,5.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011014.0,14.0,10.0,9.0,1.0,1.0,1.0,0.0,6.0,8.0,1.0,0.0,,,8.0,0.0,16.0,15.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011015.0,15.0,202.0,166.0,36.0,13.0,41.0,2.0,71.0,127.0,28.0,11.0,,,8.0,1.0,16.0,17.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0,1010300011016.0,16.0,413.0,411.0,2.0,28.0,10.0,9.0,356.0,403.0,1.0,7.0,,,8.0,1.0,16.0,33.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027001.0,1.0,144.0,118.0,26.0,3.0,21.0,14.0,47.0,85.0,20.0,13.0,,,8.0,3.0,16.0,16.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027002.0,2.0,162.0,135.0,27.0,34.0,3.0,6.0,90.0,133.0,2.0,0.0,,,8.0,2.0,16.0,1.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027003.0,3.0,805.0,697.0,108.0,141.0,164.0,34.0,171.0,510.0,111.0,76.0,,,8.0,2.0,16.0,23.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027004.0,4.0,940.0,908.0,32.0,41.0,75.0,89.0,600.0,805.0,94.0,9.0,,,8.0,0.0,16.0,44.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027005.0,5.0,60.0,48.0,12.0,1.0,12.0,1.0,33.0,47.0,1.0,0.0,,,8.0,3.0,16.0,30.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027006.0,6.0,588.0,485.0,103.0,86.0,25.0,89.0,190.0,390.0,86.0,9.0,,,8.0,2.0,16.0,58.0
10103.0,Chuquisaca,Oropeza,Poroma,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0,1010300027007.0,7.0,569.0,569.0,0.0,79.0,29.0,96.0,256.0,460.0,57.0,52.0,,,8.0,4.0,16.0,26.0
