CodigoRecinto,CodigoActa,NroMesa,VotantesHabilitados
1010200001.0,1010200001001.0,1.0,877.0
1010200001.0,1010200001002.0,2.0,949.0
1010200001.0,1010200001003.0,3.0,987.0
1010200001.0,1010200001004.0,4.0,119.0
1010200001.0,1010200001005.0,5.0,924.0
1010200001.0,1010200001006.0,6.0,54.0
1010200001.0,1010200001007.0,7.0,972.0
1010200001.0,1010200001008.0,8.0,186.0
1010200001.0,1010200001009.0,9.0,828.0
1010300010.0,1010300010001.0,1.0,911.0
1010300011.0,1010300011001.0,1.0,678.0
1010300011.0,1010300011002.0,2.0,930.0
1010300011.0,1010300011003.0,3.0,279.0
1010300011.0,1010300011004.0,4.0,429.0
1010300011.0,1010300011005.0,5.0,187.0
1010300011.0,1010300011006.0,6.0,212.0
1010300011.0,1010300011007.0,7.0,727.0
1010300011.0,1010300011008.0,8.0,588.0
1010300011.0,1010300011009.0,9.0,237.0
1010300011.0,1010300011010.0,10.0,23.0
1010300011.0,1010300011011.0,11.0,693.0
1010300011.0,1010300011012.0,12.0,952.0
1010300011.0,1010300011013.0,13.0,404.0
1010300011.0,1010300011014.0,14.0,10.0
1010300011.0,1010300011015.0,15.0,202.0
1010300011.0,1010300011016.0,16.0,413.0
1010300027.0,1010300027001.0,1.0,144.0
1010300027.0,1010300027002.0,2.0,162.0
1010300027.0,1010300027003.0,3.0,805.0
1010300027.0,1010300027004.0,4.0,940.0
1010300027.0,1010300027005.0,5.0,60.0
1010300027.0,1010300027006.0,6.0,588.0
1010300027.0,1010300027007.0,7.0,569.0
1010300027.0,1010300027008.0,8.0,460.0
1010300027.0,1010300027009.0,9.0,806.0
1010300027.0,1010300027010.0,10.0,479.0
1010300027.0,1010300027011.0,11.0,409.0
1010300027.0,1010300027012.0,12.0,252.0
1010300027.0,1010300027013.0,13.0,593.0
1010300027.0,1010300027014.0,14.0,776.0
1020100041.0,1020100041001.0,1.0,762.0
1020100041.0,1020100041002.0,2.0,987.0
1020100041.0,1020100041003.0,3.0,677.0
1020100041.0,1020100041004.0,4.0,34.0
1020100045.0,1020100045001.0,1.0,423.0
1020100045.0,1020100045002.0,2.0,7.0
1020100045.0,1020100045003.0,3.0,121.0
1020100045.0,1020100045004.0,4.0,262.0
1020100045.0,1020100045005.0,5.0,356.0
1020100045.0,1020100045006.0,6.0,190.0
1020100045.0,1020100045007.0,7.0,684.0
1020100045.0,1020100045008.0,8.0,722.0
1020100045.0,1020100045009.0,9.0,382.0
1020100045.0,1020100045010.0,10.0,933.0
1020100045.0,1020100045011.0,11.0,70.0
1020100045.0,1020100045012.0,12.0,368.0
1020100045.0,1020100045013.0,13.0,338.0
1020100045.0,1020100045014.0,14.0,760.0
1020100045.0,1020100045015.0,15.0,62.0
1020100045.0,1020100045016.0,16.0,214.0
1020100045.0,1020100045017.0,17.0,79.0
1020100062.0,1020100062001.0,1.0,92.0
1020100062.0,1020100062002.0,2.0,893.0
1020100062.0,1020100062003.0,3.0,539.0
1020100062.0,1020100062004.0,4.0,131.0
1020100062.0,1020100062005.0,5.0,528.0
1030100067.0,1030100067001.0,1.0,587.0
1030100067.0,1030100067002.0,2.0,927.0
1030100067.0,1030100067003.0,3.0,144.0
1030100067.0,1030100067004.0,4.0,778.0
1030100067.0,1030100067005.0,5.0,880.0
1030100067.0,1030100067006.0,6.0,341.0
1030100067.0,1030100067007.0,7.0,606.0
1030100067.0,1030100067008.0,8.0,601.0
1030100067.0,1030100067009.0,9.0,405.0
1030100067.0,1030100067010.0,10.0,176.0
1030100067.0,1030100067011.0,11.0,959.0
1030100067.0,1030100067012.0,12.0,440.0
1030100067.0,1030100067013.0,13.0,621.0
1030100067.0,1030100067014.0,14.0,583.0
1030200081.0,1030200081001.0,1.0,781.0
1030200081.0,1030200081002.0,2.0,757.0
1030200081.0,1030200081003.0,3.0,347.0
1030200081.0,1030200081004.0,4.0,459.0
1030200081.0,1030200081005.0,5.0,468.0
1030200081.0,1030200081006.0,6.0,80.0
1030200087.0,1030200087001.0,1.0,45.0
1030200087.0,1030200087002.0,2.0,236.0
1030200087.0,1030200087003.0,3.0,788.0
1030200087.0,1030200087004.0,4.0,501.0
1030200087.0,1030200087005.0,5.0,257.0
1030200087.0,1030200087006.0,6.0,734.0
1030200087.0,1030200087007.0,7.0,276.0
1030200087.0,1030200087008.0,8.0,235.0
1030200087.0,1030200087009.0,9.0,752.0
1030200087.0,1030200087010.0,10.0,37.0
1030300097.0,1030300097001.0,1.0,10.0
1030300097.0,1030300097002.0,2.0,702.0
1030300097.0,1030300097003.0,3.0,582.0
1030300097.0,1030300097004.0,4.0,745.0
1030300097.0,1030300097005.0,5.0,706.0
1030300097.0,1030300097006.0,6.0,553.0
1030300097.0,1030300097007.0,7.0,248.0
1030300097.0,1030300097008.0,8.0,421.0
1030300097.0,1030300097009.0,9.0,153.0
1030300097.0,1030300097010.0,10.0,674.0
1030300097.0,1030300097011.0,11.0,233.0
1030300097.0,1030300097012.0,12.0,257.0
1030300097.0,1030300097013.0,13.0,223.0
1030300097.0,1030300097014.0,14.0,721.0
1030300097.0,1030300097015.0,15.0,457.0
1030300097.0,1030300097016.0,16.0,859.0
1030300097.0,1030300097017.0,17.0,331.0
1030300097.0,1030300097018.0,18.0,366.0
1030400115.0,1030400115001.0,1.0,718.0
1030400115.0,1030400115002.0,2.0,266.0
1030400115.0,1030400115003.0,3.0,323.0
1030400115.0,1030400115004.0,4.0,893.0
1030400115.0,1030400115005.0,5.0,699.0
1030400115.0,1030400115006.0,6.0,992.0
1030400121.0,1030400121001.0,1.0,364.0
1030400121.0,1030400121002.0,2.0,745.0
1030400121.0,1030400121003.0,3.0,912.0
1030400121.0,1030400121004.0,4.0,847.0
1040100125.0,1040100125001.0,1.0,542.0
1040100125.0,1040100125002.0,2.0,97.0
1040100125.0,1040100125003.0,3.0,13.0
1040100125.0,1040100125004.0,4.0,645.0
1040100125.0,1040100125005.0,5.0,126.0
1040100125.0,1040100125006.0,6.0,733.0
1040100125.0,1040100125007.0,7.0,48.0
1040100132.0,1040100132001.0,1.0,717.0
