CodigoTerritorial,Departamento,Municipio,Provincia
10101.0,Chuquisaca,Oropeza,Sucre
10102.0,Chuquisaca,Oropeza,Yotala
10103.0,Chuquisaca,Oropeza,Poroma
10201.0,Chuquisaca,Azurduy,Azurduy
10202.0,Chuquisaca,Azurduy,Tarvita
10301.0,Chuquisaca,Zudáñez,Villa Zudáñez
10302.0,Chuquisaca,Zudáñez,Presto
10303.0,Chuquisaca,Zudáñez,Villa Mojocoya
10304.0,Chuquisaca,Zudáñez,Icla
10401.0,Chuquisaca,Tomina,Padilla
10402.0,Chuquisaca,Tomina,Tomina
10403.0,Chuquisaca,Tomina,Sopachuy
10404.0,Chuquisaca,Tomina,Villa Alcalá
10405.0,Chuquisaca,Tomina,El Villar
10501.0,Chuquisaca,Hernando Siles,Monteagudo
10502.0,Chuquisaca,Hernando Siles,Huacareta
10601.0,Chuquisaca,Yamparáez,Tarabuco
10602.0,Chuquisaca,Yamparáez,Yamparáez
10701.0,Chuquisaca,Nor Cinti,Camargo
10702.0,Chuquisaca,Nor Cinti,San Lucas
10703.0,Chuquisaca,Nor Cinti,Incahuasi
10704.0,Chuquisaca,Nor Cinti,Villa Charcas
10801.0,Chuquisaca,Belisario Boeto,Villa Serrano
10901.0,Chuquisaca,Sud Cinti,Villa Abecia
10902.0,Chuquisaca,Sud Cinti,Culpina
10903.0,Chuquisaca,Sud Cinti,Las Carreras
11001.0,Chuquisaca,Luis Calvo,Villa Vaca Guzmán (Muyupampa)
11002.0,Chuquisaca,Luis Calvo,Huacaya
11003.0,Chuquisaca,Luis Calvo,Macharetí
20101.0,La Paz,Murillo,La Paz
20102.0,La Paz,Murillo,Palca
20103.0,La Paz,Murillo,Mecapaca
20104.0,La Paz,Murillo,Achocalla
20105.0,La Paz,Murillo,El Alto
20201.0,La Paz,Omasuyos,Achacachi
20202.0,La Paz,Omasuyos,Ancoraimes
20203.0,La Paz,Omasuyos,Chua Cocani
20204.0,La Paz,Omasuyos,Huarina
20205.0,La Paz,Omasuyos,Santiago de Huata
20206.0,La Paz,Omasuyos,Huatajata
20301.0,La Paz,Pacajes,Coro Coro
20302.0,La Paz,Pacajes,Caquiaviri
20303.0,La Paz,Pacajes,Calacoto
20304.0,La Paz,Pacajes,Comanche
20305.0,La Paz,Pacajes,Charaña
20306.0,La Paz,Pacajes,Waldo Ballivián
20307.0,La Paz,Pacajes,Nazacara de Pacajes
20308.0,La Paz,Pacajes,Callapa
20401.0,La Paz,Camacho,Puerto Acosta
20402.0,La Paz,Camacho,Mocomoco
20403.0,La Paz,Camacho,Puerto Carabuco
20404.0,La Paz,Camacho,Humanata
20405.0,La Paz,Camacho,Escoma
20501.0,La Paz,Muñecas,Chuma
20502.0,La Paz,Muñecas,Ayata
20503.0,La Paz,Muñecas,Aucapata
20601.0,La Paz,Larecaja,Sorata
20602.0,La Paz,Larecaja,Guanay
20603.0,La Paz,Larecaja,Tacacoma
20604.0,La Paz,Larecaja,Quiabaya
20605.0,La Paz,Larecaja,Combaya
20606.0,La Paz,Larecaja,Tipuani
20607.0,La Paz,Larecaja,Mapiri
20608.0,La Paz,Larecaja,Teoponte
20701.0,La Paz,Franz Tamayo,Apolo
20702.0,La Paz,Franz Tamayo,Pelechuco
20801.0,La Paz,Ingavi,Viacha
20802.0,La Paz,Ingavi,Guaqui
20803.0,La Paz,Ingavi,Tiahuanaco
20804.0,La Paz,Ingavi,Desaguadero
20805.0,La Paz,Ingavi,San Andrés de Machaca
20806.0,La Paz,Ingavi,Jesús de Machaca
20807.0,La Paz,Ingavi,Taraco
20901.0,La Paz,Loayza,Luribay
20902.0,La Paz,Loayza,Sapahaqui
20903.0,La Paz,Loayza,Yaco
20904.0,La Paz,Loayza,Malla
20905.0,La Paz,Loayza,Cairoma
21001.0,La Paz,Inquisivi,Inquisivi
21002.0,La Paz,Inquisivi,Quime
21003.0,La Paz,Inquisivi,Cajuata
21004.0,La Paz,Inquisivi,Colquiri
21005.0,La Paz,Inquisivi,Ichoca
21006.0,La Paz,Inquisivi,Licoma Pampa
21101.0,La Paz,Sud Yungas,Chulumani
21102.0,La Paz,Sud Yungas,Irupana
21103.0,La Paz,Sud Yungas,Yanacachi
21104.0,La Paz,Sud Yungas,Palos Blancos
21105.0,La Paz,Sud Yungas,La Asunta
21201.0,La Paz,Los Andes,Pucarani
21202.0,La Paz,Los Andes,Laja
21203.0,La Paz,Los Andes,Batallas
21204.0,La Paz,Los Andes,Puerto Pérez
21301.0,La Paz,Aroma,Sica Sica
21302.0,La Paz,Aroma,Umala
21303.0,La Paz,Aroma,Ayo Ayo
21304.0,La Paz,Aroma,Calamarca
21305.0,La Paz,Aroma,Patacamaya
21306.0,La Paz,Aroma,Colquencha
21307.0,La Paz,Aroma,Collana
21401.0,La Paz,Nor Yungas,Coroico
21402.0,La Paz,Nor Yungas,Coripata
21501.0,La Paz,Iturralde,Ixiamas
21502.0,La Paz,Iturralde,San Buenaventura
21601.0,La Paz,Bautista Saavedra,Charazani
21602.0,La Paz,Bautista Saavedra,Curva
21701.0,La Paz,Manco Kapac,Copacabana
21702.0,La Paz,Manco Kapac,San Pedro de Tiquina
21703.0,La Paz,Manco Kapac,Tito Yupanqui
21801.0,La Paz,Gualberto Villarroel,San Pedro de Curahuara
21802.0,La Paz,Gualberto Villarroel,Papel Pampa
21803.0,La Paz,Gualberto Villarroel,Chacarilla
21901.0,La Paz,General José Manuel Pando,Santiago de Machaca
21902.0,La Paz,General José Manuel Pando,Catacora
22001.0,La Paz,Caranavi,Caranavi
22002.0,La Paz,Caranavi,Alto Beni
30101.0,Cochabamba,Cercado,Cochabamba
30201.0,Cochabamba,Campero,Aiquile
30202.0,Cochabamba,Campero,Pasorapa
30203.0,Cochabamba,Campero,Omereque
30301.0,Cochabamba,Ayopaya,Independencia
30302.0,Cochabamba,Ayopaya,Morochata
30303.0,Cochabamba,Ayopaya,Cocapata
30401.0,Cochabamba,Esteban Arze,Tarata
30402.0,Cochabamba,Esteban Arze,Anzaldo
30403.0,Cochabamba,Esteban Arze,Arbieto
30404.0,Cochabamba,Esteban Arze,Sacabamba
30501.0,Cochabamba,Arani,Arani
30502.0,Cochabamba,Arani,Vacas
30601.0,Cochabamba,Arque,Arque
30602.0,Cochabamba,Arque,Tacopaya
30701.0,Cochabamba,Capinota,Capinota
30702.0,Cochabamba,Capinota,Santiváñez
30703.0,Cochabamba,Capinota,Sicaya
30801.0,Cochabamba,Germán Jordán,Cliza
30802.0,Cochabamba,Germán Jordán,Toco
30803.0,Cochabamba,Germán Jordán,Tolata
30901.0,Cochabamba,Quillacollo,Quillacollo
30902.0,Cochabamba,Quillacollo,Sipe Sipe
30903.0,Cochabamba,Quillacollo,Tiquipaya
30904.0,Cochabamba,Quillacollo,Vinto
30905.0,Cochabamba,Quillacollo,Colcapirhua
31001.0,Cochabamba,Chapare,Sacaba
31002.0,Cochabamba,Chapare,Colomi
31003.0,Cochabamba,Chapare,Villa Tunari
31101.0,Cochabamba,Tapacarí,Tapacarí
31201.0,Cochabamba,Carrasco,Totora
31202.0,Cochabamba,Carrasco,Pojo
31203.0,Cochabamba,Carrasco,Pocona
31204.0,Cochabamba,Carrasco,Chimoré
31205.0,Cochabamba,Carrasco,Puerto Villarroel
31206.0,Cochabamba,Carrasco,Entre Ríos
31301.0,Cochabamba,Mizque,Mizque
31302.0,Cochabamba,Mizque,Vila Vila
31303.0,Cochabamba,Mizque,Alalay
31401.0,Cochabamba,Punata,Punata
31402.0,Cochabamba,Punata,Villa Rivero
31403.0,Cochabamba,Punata,San Benito
31404.0,Cochabamba,Punata,Tacachi
31405.0,Cochabamba,Punata,Cuchumuela
31501.0,Cochabamba,Bolívar,Bolívar
31601.0,Cochabamba,Tiraque,Tiraque
31602.0,Cochabamba,Tiraque,Shinahota
40101.0,Oruro,Cercado,Oruro
40102.0,Oruro,Cercado,Caracollo
40103.0,Oruro,Cercado,El Choro
