recintoCode,CodigoTerritorial,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas
10101.0,10102.0,1010200001.0,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9.0
10102.0,10103.0,1010300010.0,U.E. Guillermo Urquidi,Av. Humboldt entre Av. Victor Ustariz y Av. Blanco Galindo,1.0
10103.0,10103.0,1010300011.0,Escuela Gualberto Villarroel,Arani,16.0
10201.0,10103.0,1010300027.0,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte,14.0
10202.0,10201.0,1020100041.0,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar,4.0
10301.0,10201.0,1020100045.0,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether,17.0
10302.0,10201.0,1020100062.0,U.E. Pedro Domingo Murillo,Chiuchi Arriba,5.0
10303.0,10301.0,1030100067.0,Unidad Educativa Molinero,Molinero,14.0
10304.0,10302.0,1030200081.0,Colegio Pio XII,25 de Mayo entre Punata,6.0
10401.0,10302.0,1030200087.0,Escuela Mixta Dr. Martin Cardenas,Mina Asientos,10.0
10402.0,10303.0,1030300097.0,Escuela Ladislao Cabrera,Chilicchi,18.0
10403.0,10304.0,1030400115.0,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion,6.0
10404.0,10304.0,1030400121.0,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion,4.0
10405.0,10401.0,1040100125.0,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari),7.0
10501.0,10401.0,1040100132.0,Unidad Educativa 1ro de Mayo,Primero de Mayo,11.0
10502.0,10401.0,1040100143.0,Nucleo Educativo Chapisirca,Chapisirca,7.0
10601.0,10402.0,1040200150.0,U.E. San Antonio,Comunidad San Antonio,11.0
10602.0,10402.0,1040200161.0,Nucleo Escolar Laguna Grande,Laguna Grande,17.0
10701.0,10403.0,1040300178.0,Nucleo Educativo Chapisirca,Chapisirca,3.0
10702.0,10403.0,1040300181.0,Unidad Educativa Moleto Icoya (V.Tunari),Moleto,5.0
10703.0,10404.0,1040400186.0,U.E. Rumy Corral,Comunidad Rumy Corral Centro,3.0
10704.0,10404.0,1040400189.0,Unidad Educativa Ramadas,La Ramada,8.0
10801.0,10404.0,1040400197.0,Colegio Pio XII,25 de Mayo entre Punata,9.0
10901.0,10405.0,1040500206.0,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta,12.0
10902.0,10601.0,1060100218.0,Instituto Tecnologico El Paso,Avenida Elias Meneces,3.0
10903.0,10601.0,1060100221.0,U.E. Combuyo,Calle de Combuyo,10.0
