codigo_mesa,codigo_recinto,nro_mesa,votantes_habilitados
1010200001001,1010200001,1,877
1010200001002,1010200001,2,949
1010200001003,1010200001,3,987
1010200001004,1010200001,4,119
1010200001005,1010200001,5,924
1010200001006,1010200001,6,54
1010200001007,1010200001,7,972
1010200001008,1010200001,8,186
1010200001009,1010200001,9,828
1010300010001,1010300010,1,911
1010300011001,1010300011,1,678
1010300011002,1010300011,2,930
1010300011003,1010300011,3,279
1010300011004,1010300011,4,429
1010300011005,1010300011,5,187
1010300011006,1010300011,6,212
1010300011007,1010300011,7,727
1010300011008,1010300011,8,588
1010300011009,1010300011,9,237
1010300011010,1010300011,10,23
1010300011011,1010300011,11,693
1010300011012,1010300011,12,952
1010300011013,1010300011,13,404
1010300011014,1010300011,14,10
1010300011015,1010300011,15,202
1010300011016,1010300011,16,413
1010300027001,1010300027,1,144
1010300027002,1010300027,2,162
1010300027003,1010300027,3,805
1010300027004,1010300027,4,940
1010300027005,1010300027,5,60
1010300027006,1010300027,6,588
1010300027007,1010300027,7,569
1010300027008,1010300027,8,460
1010300027009,1010300027,9,806
1010300027010,1010300027,10,479
1010300027011,1010300027,11,409
1010300027012,1010300027,12,252
1010300027013,1010300027,13,593
1010300027014,1010300027,14,776
1020100041001,1020100041,1,762
1020100041002,1020100041,2,987
1020100041003,1020100041,3,677
1020100041004,1020100041,4,34
1020100045001,1020100045,1,423
1020100045002,1020100045,2,7
1020100045003,1020100045,3,121
1020100045004,1020100045,4,262
1020100045005,1020100045,5,356
1020100045006,1020100045,6,190
1020100045007,1020100045,7,684
1020100045008,1020100045,8,722
1020100045009,1020100045,9,382
1020100045010,1020100045,10,933
1020100045011,1020100045,11,70
1020100045012,1020100045,12,368
1020100045013,1020100045,13,338
1020100045014,1020100045,14,760
1020100045015,1020100045,15,62
1020100045016,1020100045,16,214
1020100045017,1020100045,17,79
1020100062001,1020100062,1,92
1020100062002,1020100062,2,893
1020100062003,1020100062,3,539
1020100062004,1020100062,4,131
1020100062005,1020100062,5,528
1030100067001,1030100067,1,587
1030100067002,1030100067,2,927
1030100067003,1030100067,3,144
1030100067004,1030100067,4,778
1030100067005,1030100067,5,880
1030100067006,1030100067,6,341
1030100067007,1030100067,7,606
1030100067008,1030100067,8,601
1030100067009,1030100067,9,405
1030100067010,1030100067,10,176
1030100067011,1030100067,11,959
1030100067012,1030100067,12,440
1030100067013,1030100067,13,621
1030100067014,1030100067,14,583
1030200081001,1030200081,1,781
1030200081002,1030200081,2,757
1030200081003,1030200081,3,347
1030200081004,1030200081,4,459
1030200081005,1030200081,5,468
1030200081006,1030200081,6,80
1030200087001,1030200087,1,45
1030200087002,1030200087,2,236
1030200087003,1030200087,3,788
1030200087004,1030200087,4,501
1030200087005,1030200087,5,257
1030200087006,1030200087,6,734
1030200087007,1030200087,7,276
1030200087008,1030200087,8,235
1030200087009,1030200087,9,752
1030200087010,1030200087,10,37
1030300097001,1030300097,1,10
1030300097002,1030300097,2,702
1030300097003,1030300097,3,582
1030300097004,1030300097,4,745
1030300097005,1030300097,5,706
1030300097006,1030300097,6,553
1030300097007,1030300097,7,248
1030300097008,1030300097,8,421
1030300097009,1030300097,9,153
1030300097010,1030300097,10,674
1030300097011,1030300097,11,233
1030300097012,1030300097,12,257
1030300097013,1030300097,13,223
1030300097014,1030300097,14,721
1030300097015,1030300097,15,457
1030300097016,1030300097,16,859
1030300097017,1030300097,17,331
1030300097018,1030300097,18,366
1030400115001,1030400115,1,718
1030400115002,1030400115,2,266
1030400115003,1030400115,3,323
1030400115004,1030400115,4,893
1030400115005,1030400115,5,699
1030400115006,1030400115,6,992
1030400121001,1030400121,1,364
1030400121002,1030400121,2,745
1030400121003,1030400121,3,912
1030400121004,1030400121,4,847
1040100125001,1040100125,1,542
1040100125002,1040100125,2,97
1040100125003,1040100125,3,13
1040100125004,1040100125,4,645
1040100125005,1040100125,5,126
1040100125006,1040100125,6,733
1040100125007,1040100125,7,48
1040100132001,1040100132,1,717
1040100132002,1040100132,2,195
1040100132003,1040100132,3,714
1040100132004,1040100132,4,482
1040100132005,1040100132,5,705
1040100132006,1040100132,6,722
1040100132007,1040100132,7,945
1040100132008,1040100132,8,532
1040100132009,1040100132,9,774
1040100132010,1040100132,10,141
1040100132011,1040100132,11,520
1040100143001,1040100143,1,621
1040100143002,1040100143,2,92
1040100143003,1040100143,3,257
1040100143004,1040100143,4,126
1040100143005,1040100143,5,158
1040100143006,1040100143,6,173
1040100143007,1040100143,7,279
1040200150001,1040200150,1,133
1040200150002,1040200150,2,215
1040200150003,1040200150,3,630
1040200150004,1040200150,4,195
1040200150005,1040200150,5,917
1040200150006,1040200150,6,648
1040200150007,1040200150,7,608
1040200150008,1040200150,8,845
1040200150009,1040200150,9,353
1040200150010,1040200150,10,11
1040200150011,1040200150,11,377
1040200161001,1040200161,1,712
1040200161002,1040200161,2,642
1040200161003,1040200161,3,444
1040200161004,1040200161,4,787
1040200161005,1040200161,5,382
1040200161006,1040200161,6,110
1040200161007,1040200161,7,619
1040200161008,1040200161,8,570
1040200161009,1040200161,9,119
1040200161010,1040200161,10,583
1040200161011,1040200161,11,324
1040200161012,1040200161,12,923
1040200161013,1040200161,13,493
1040200161014,1040200161,14,91
1040200161015,1040200161,15,261
1040200161016,1040200161,16,792
1040200161017,1040200161,17,179
1040300178001,1040300178,1,39
1040300178002,1040300178,2,854
1040300178003,1040300178,3,244
1040300181001,1040300181,1,62
1040300181002,1040300181,2,748
1040300181003,1040300181,3,708
1040300181004,1040300181,4,273
1040300181005,1040300181,5,400
1040400186001,1040400186,1,837
1040400186002,1040400186,2,989
1040400186003,1040400186,3,982
1040400189001,1040400189,1,314
1040400189002,1040400189,2,573
1040400189003,1040400189,3,636
1040400189004,1040400189,4,324
1040400189005,1040400189,5,6
1040400189006,1040400189,6,427
1040400189007,1040400189,7,557
1040400189008,1040400189,8,858
1040400197001,1040400197,1,369
1040400197002,1040400197,2,757
1040400197003,1040400197,3,522
1040400197004,1040400197,4,220
1040400197005,1040400197,5,784
1040400197006,1040400197,6,876
1040400197007,1040400197,7,681
1040400197008,1040400197,8,569
1040400197009,1040400197,9,510
1040500206001,1040500206,1,35
1040500206002,1040500206,2,661
1040500206003,1040500206,3,287
1040500206004,1040500206,4,970
1040500206005,1040500206,5,570
1040500206006,1040500206,6,138
1040500206007,1040500206,7,310
1040500206008,1040500206,8,652
1040500206009,1040500206,9,466
1040500206010,1040500206,10,28
1040500206011,1040500206,11,618
1040500206012,1040500206,12,31
1060100218001,1060100218,1,847
1060100218002,1060100218,2,365
1060100218003,1060100218,3,721
1060100221001,1060100221,1,564
1060100221002,1060100221,2,140
1060100221003,1060100221,3,253
1060100221004,1060100221,4,466
1060100221005,1060100221,5,197
1060100221006,1060100221,6,873
1060100221007,1060100221,7,364
1060100221008,1060100221,8,260
1060100221009,1060100221,9,69
1060100221010,1060100221,10,326
1060100231001,1060100231,1,413
1060100231002,1060100231,2,805
1060100231003,1060100231,3,839
1060100231004,1060100231,4,562
1060100231005,1060100231,5,103
1060100231006,1060100231,6,736
1060100231007,1060100231,7,984
1060100231008,1060100231,8,435
1060100231009,1060100231,9,700
1060100231010,1060100231,10,410
1060100231011,1060100231,11,313
1060200242001,1060200242,1,339
1060200242002,1060200242,2,942
1060200242003,1060200242,3,752
1060200242004,1060200242,4,420
1060200242005,1060200242,5,305
1060200242006,1060200242,6,636
1060200242007,1060200242,7,366
1060200242008,1060200242,8,334
1060200242009,1060200242,9,289
1060200242010,1060200242,10,93
1060200242011,1060200242,11,751
1060200242012,1060200242,12,327
1060200242013,1060200242,13,635
1060200242014,1060200242,14,754
1060200242015,1060200242,15,635
1060200242016,1060200242,16,218
1060200242017,1060200242,17,71
1060200242018,1060200242,18,481
1060200242019,1060200242,19,427
1060200261001,1060200261,1,759
1060200261002,1060200261,2,918
1060200261003,1060200261,3,184
1060200261004,1060200261,4,764
1060200261005,1060200261,5,641
1060200261006,1060200261,6,890
1060200261007,1060200261,7,487
1060200261008,1060200261,8,596
1060200261009,1060200261,9,758
1070100270001,1070100270,1,648
1070100270002,1070100270,2,909
1070200272001,1070200272,1,413
1070200272002,1070200272,2,623
1070200274001,1070200274,1,668
1070200274002,1070200274,2,435
1070200274003,1070200274,3,258
1070200274004,1070200274,4,527
1070200274005,1070200274,5,258
1070200274006,1070200274,6,242
1070200274007,1070200274,7,143
1070200274008,1070200274,8,170
1070200274009,1070200274,9,868
1070200274010,1070200274,10,539
1070200274011,1070200274,11,878
1070200285001,1070200285,1,199
1070200285002,1070200285,2,945
1070200285003,1070200285,3,770
1070200285004,1070200285,4,430
1070200285005,1070200285,5,478
1070200285006,1070200285,6,192
1070200285007,1070200285,7,7
1070200285008,1070200285,8,472
1070200285009,1070200285,9,976
1070200285010,1070200285,10,237
1070300295001,1070300295,1,186
1070300295002,1070300295,2,942
1070300295003,1070300295,3,831
1070300295004,1070300295,4,686
1070300295005,1070300295,5,105
1070300300001,1070300300,1,292
1070300300002,1070300300,2,438
1070300300003,1070300300,3,679
1070300300004,1070300300,4,674
1070300300005,1070300300,5,693
1070300300006,1070300300,6,454
1070300300007,1070300300,7,982
1070300300008,1070300300,8,64
1070300300009,1070300300,9,129
1070300300010,1070300300,10,898
1070300300011,1070300300,11,289
1070300300012,1070300300,12,720
1070300300013,1070300300,13,591
1070300300014,1070300300,14,27
1070300300015,1070300300,15,845
1070300300016,1070300300,16,497
1070300300017,1070300300,17,400
1070300300018,1070300300,18,646
1070300318001,1070300318,1,71
1070300318002,1070300318,2,993
1070300318003,1070300318,3,17
1070300318004,1070300318,4,193
1070300318005,1070300318,5,985
1070300318006,1070300318,6,531
1070300318007,1070300318,7,113
1070300318008,1070300318,8,673
1070400326001,1070400326,1,640
1070400326002,1070400326,2,370
1070400326003,1070400326,3,978
1070400326004,1070400326,4,26
1070400326005,1070400326,5,860
1070400326006,1070400326,6,626
1070400326007,1070400326,7,194
1070400326008,1070400326,8,393
1070400326009,1070400326,9,244
1070400326010,1070400326,10,411
