codigo,nombre,codigo_provincia
10101,Sucre,101
10102,Yotala,101
10103,Poroma,101
10201,Azurduy,102
10202,Tarvita,102
10301,Villa Zudáñez,103
10302,Presto,103
10303,Villa Mojocoya,103
10304,Icla,103
10401,Padilla,104
10402,Tomina,104
10403,Sopachuy,104
10404,Villa Alcalá,104
10405,El Villar,104
10501,Monteagudo,105
10502,Huacareta,105
10601,Tarabuco,106
10602,Yamparáez,106
10701,Camargo,107
10702,San Lucas,107
10703,Incahuasi,107
10704,Villa Charcas,107
10801,Villa Serrano,108
10901,Villa Abecia,109
10902,Culpina,109
10903,Las Carreras,109
11001,Villa Vaca Guzmán (Muyupampa),110
11002,Huacaya,110
11003,Macharetí,110
20101,La Paz,201
20102,Palca,201
20103,Mecapaca,201
20104,Achocalla,201
20105,El Alto,201
20201,Achacachi,202
20202,Ancoraimes,202
20203,Chua Cocani,202
20204,Huarina,202
20205,Santiago de Huata,202
20206,Huatajata,202
20301,Coro Coro,203
20302,Caquiaviri,203
20303,Calacoto,203
20304,Comanche,203
20305,Charaña,203
20306,Waldo Ballivián,203
20307,Nazacara de Pacajes,203
20308,Callapa,203
20401,Puerto Acosta,204
20402,Mocomoco,204
20403,Puerto Carabuco,204
20404,Humanata,204
20405,Escoma,204
20501,Chuma,205
20502,Ayata,205
20503,Aucapata,205
20601,Sorata,206
20602,Guanay,206
20603,Tacacoma,206
20604,Quiabaya,206
20605,Combaya,206
20606,Tipuani,206
20607,Mapiri,206
20608,Teoponte,206
20701,Apolo,207
20702,Pelechuco,207
20801,Viacha,208
20802,Guaqui,208
20803,Tiahuanaco,208
20804,Desaguadero,208
20805,San Andrés de Machaca,208
20806,Jesús de Machaca,208
20807,Taraco,208
20901,Luribay,209
20902,Sapahaqui,209
20903,Yaco,209
20904,Malla,209
20905,Cairoma,209
21001,Inquisivi,210
21002,Quime,210
21003,Cajuata,210
21004,Colquiri,210
21005,Ichoca,210
21006,Licoma Pampa,210
21101,Chulumani,211
21102,Irupana,211
21103,Yanacachi,211
21104,Palos Blancos,211
21105,La Asunta,211
21201,Pucarani,212
21202,Laja,212
21203,Batallas,212
21204,Puerto Pérez,212
21301,Sica Sica,213
21302,Umala,213
21303,Ayo Ayo,213
21304,Calamarca,213
21305,Patacamaya,213
21306,Colquencha,213
21307,Collana,213
21401,Coroico,214
21402,Coripata,214
21501,Ixiamas,215
21502,San Buenaventura,215
21601,Charazani,216
21602,Curva,216
21701,Copacabana,217
21702,San Pedro de Tiquina,217
21703,Tito Yupanqui,217
21801,San Pedro de Curahuara,218
21802,Papel Pampa,218
21803,Chacarilla,218
21901,Santiago de Machaca,219
21902,Catacora,219
22001,Caranavi,220
22002,Alto Beni,220
30101,Cochabamba,301
30201,Aiquile,302
30202,Pasorapa,302
30203,Omereque,302
30301,Independencia,303
30302,Morochata,303
30303,Cocapata,303
30401,Tarata,304
30402,Anzaldo,304
30403,Arbieto,304
30404,Sacabamba,304
30501,Arani,305
30502,Vacas,305
30601,Arque,306
30602,Tacopaya,306
30701,Capinota,307
30702,Santiváñez,307
30703,Sicaya,307
30801,Cliza,308
30802,Toco,308
30803,Tolata,308
30901,Quillacollo,309
30902,Sipe Sipe,309
30903,Tiquipaya,309
30904,Vinto,309
30905,Colcapirhua,309
31001,Sacaba,310
31002,Colomi,310
31003,Villa Tunari,310
31101,Tapacarí,311
31201,Totora,312
31202,Pojo,312
31203,Pocona,312
31204,Chimoré,312
31205,Puerto Villarroel,312
