codigo_recinto,codigo_municipio,nombre,direccion
1010200001,10102,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150
1010300010,10103,U.E. Guillermo Urquidi,Av. Humboldt entre Av. Victor Ustariz y Av. Blanco Galindo
1010300011,10103,Escuela Gualberto Villarroel,Arani
1010300027,10103,(Corcel) Penitenciaria San Sebastian Varones,Plaz. San Sebastion Acera Norte
1020100041,10201,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar
1020100045,10201,Colegio Francisco Vignaud,Capitan Ustariz entre Av. Juan Rivera y C. Hans Grether
1020100062,10201,U.E. Pedro Domingo Murillo,Chiuchi Arriba
1030100067,10301,Unidad Educativa Molinero,Molinero
1030200081,10302,Colegio Pio XII,25 de Mayo entre Punata
1030200087,10302,Escuela Mixta Dr. Martin Cardenas,Mina Asientos
1030300097,10303,Escuela Ladislao Cabrera,Chilicchi
1030400115,10304,U.E. Joso Carlos Carrillo,Comunidad Tirani?Final Av. Atahuallpa segunda circunvalacion
1030400121,10304,U.E. Carmen Rosa Salguero,Calle Miguel Mercado Moreira esq. Circunvalacion
1040100125,10401,Unidad Educativa Paracti (Villa Tunari),Paracti(Villa Tunari)
1040100132,10401,Unidad Educativa 1ro de Mayo,Primero de Mayo
1040100143,10401,Nucleo Educativo Chapisirca,Chapisirca
1040200150,10402,U.E. San Antonio,Comunidad San Antonio
1040200161,10402,Nucleo Escolar Laguna Grande,Laguna Grande
1040300178,10403,Nucleo Educativo Chapisirca,Chapisirca
1040300181,10403,Unidad Educativa Moleto Icoya (V.Tunari),Moleto
1040400186,10404,U.E. Rumy Corral,Comunidad Rumy Corral Centro
1040400189,10404,Unidad Educativa Ramadas,La Ramada
1040400197,10404,Colegio Pio XII,25 de Mayo entre Punata
1040500206,10405,Unidad Educativa Rosendo Peoa,OTB Urbanizacion PIL Sarcobamba Calle Luis Zegarra entre Luis Montaoo y Jorge Udaeta
1060100218,10601,Instituto Tecnologico El Paso,Avenida Elias Meneces
1060100221,10601,U.E. Combuyo,Calle de Combuyo
1060100231,10601,Centro Integral Nioo Jesus Fe y Alegria,Calle 4 y Miraflores
1060200242,10602,U.E. Avelino Morida,Zubieta
1060200261,10602,Nucleo Escolar Villa Granado,Villa Granado
1070100270,10701,(Corcel) Penitenciaria San Antonio,Av. Ayacucho Frente a La Terminal
1070200272,10702,Centro Internado Misicuni,Misicuni
1070200274,10702,U.E. Nacional San Isidro,Zona Alto Buena Vista Otb Kasa Wasa
1070200285,10702,U.E. Adolfo Mercado,Tacopaya
1070300295,10703,Colegio Boliviano Argentino,Baptista y Colombia
1070300300,10703,U.E. Bartolina Sisa,Calle Innominada
1070300318,10703,Nucleo Escolar Villa Granado,Villa Granado
1070400326,10704,Escuela Dr. Demetrio Canelas,Ayapampa
1070400342,10704,Nucleo Escolar Simon Bolivar (Thiomoko),Cleomedes blanco y Atacama
1090100349,10901,Escuela Seccional Waripucara,Waripucara
1090100363,10901,Nucleo Escolar Laguna Grande,Laguna Grande
1090200365,10902,U.E. Genoveva Roos,Calle Los Robles entre Av. Segunda Circunvalacion y Calle Sofocles
1090300370,10903,Instituto Tecnologico El Paso,Avenida Elias Meneces
1090300384,10903,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150
1090300396,10903,Nucleo Educativo Tipajara,Tipajara
1100100401,11001,Unidad Educativa Waca Playa,Waca Playa
1100200410,11002,U.E. Coracaba,Coracaba
1100200417,11002,Unidad Educativa Iglesiani,Iglesiani
2010200423,20102,U.E. Zenobio Gallardo,Distrito Ramadas
2010200441,20102,U.E. Cochabamba,Calle Jordon No 236
2010400444,20104,U.E. Combuyo,Calle de Combuyo
2010400449,20104,Escuela Tomas Bata,Av. 12 de Enero entre martin Cardenas Y Pacheco
2010400465,20104,Nucleo Escolar Laguna Grande,Laguna Grande
2010500484,20105,Unidad Educativa 1ro de Mayo,Primero de Mayo
2020100493,20201,U.E. San Miguel,Av. Ustariz S/N
2020100495,20201,Nucleo Joso Claure (U. E. San Vicente),San Vicente
2020200497,20202,Unidad Educativa Chaqui Mayu,Ch Aquimayu
2020200505,20202,U.E. Avispas,Carretera Cochabamba a Santa Cruz KM/144 Sindicato Avispas
2020300509,20203,U.E. Humberto Portocarrero,Zona Pampa San Miguel
2020300522,20203,Instituto Eduardo Laredo,Av. Ramon Rivero
2020400533,20204,Escuela Walter Vallejo,Av. 9 de Abril
2020600553,20206,Escuela Gualberto Villarroel,Arani
2020600556,20206,Unidad Educativa 1ro de Mayo,Primero de Mayo
2020600570,20206,U.E. Lacolaconi,Lacolaconi
2030100590,20301,Unidad Educativa La Sagrada Familia,Av. 16 de Julio
2030100591,20301,Escuela La Estrella (San Gabriel),San Gabriel
2030200609,20302,Unidad Educativa Ivirizu Vandiola,Ivirizu Vandiola
2030200615,20302,Escuela Dr. Demetrio Canelas,Ayapampa
2030200622,20302,U.E. Patria Nueva,Zona Sud Barrio 1ro. De Mayo OTB El Palmar
2030300623,20303,Unidad Educativa Simon Bolivar (Sumunpaya),Zona Sumunpuya Sud
2030300642,20303,Escuela Gualberto Villarroel,Arani
2030300656,20303,U.E. Simon I. Patioo,Avenida Pairumani
2030500661,20305,Unidad Educativa 14 de Septiembre,Calle Francisco Suarez entre Rigoberto Sains y Cesar Achaval
2030500664,20305,U.E. Serrano,Sindicato Agrarario Serrano?Carretera Troncal Cochabamba Mizque
2030600676,20306,Unidad Educativa Molinero,Molinero
